farm;lat;lon;fw;Nf;Ns
1;38.618000;-9.3000000;2575.99;92510.2;204219.
2;38.698000;-9.3700000;2558.04;91865.5;202801.
3;38.608000;-9.2400000;2525.33;90691.0;197523.
4;38.698000;-9.1100000;2520.13;90504.3;178161.
5;36.788000;-6.3900000;2509.10;90108.0;198988.
6;38.618000;-9.3600000;2482.04;89136.2;196780.
7;36.068000;-5.4200000;2475.11;88887.5;192984.
8;39.058000;-9.4700000;2465.70;88549.5;194177.
9;38.698000;-9.4800000;2459.92;88341.8;193016.
10;36.508000;-4.6700000;2451.18;88028.0;177934.
11;36.058000;-5.4800000;2435.54;87466.3;190014.
12;39.178000;-9.3800000;2433.57;87395.5;191321.
13;38.678000;-9.3100000;2425.98;87123.0;192829.
14;38.548000;-9.2000000;2412.07;86623.3;186080.
15;36.528000;-4.6100000;2376.53;85347.1;177628.
16;38.838000;-9.4800000;2373.70;85245.5;186450.
17;36.488000;-4.7300000;2365.20;84940.3;180373.
18;35.518000;-5.1500000;2347.20;84293.6;130730.
19;36.038000;-5.6800000;2341.82;84100.4;182865.
20;38.918000;-9.4500000;2339.50;84017.2;183323.
21;36.028000;-5.5400000;2335.34;83868.0;181484.
22;36.028000;-5.6200000;2328.62;83626.6;180900.
23;36.508000;-4.8700000;2297.07;82493.5;153383.
24;35.428000;-5.0600000;2292.27;82321.3;159546.
25;36.118000;-6.1600000;2275.25;81710.0;175040.
26;36.488000;-4.7900000;2273.98;81664.2;173052.
27;36.058000;-5.7400000;2253.40;80925.4;174989.
28;36.098000;-6.2200000;2245.73;80649.6;170745.
29;35.898000;-5.3000000;2232.15;80162.1;172886.
30;38.418000;-9.2300000;2229.59;80070.3;171119.
31;36.118000;-5.3200000;2223.05;79835.1;172342.
32;36.128000;-6.1000000;2214.40;79524.8;170837.
33;36.498000;-4.9300000;2202.70;79104.4;152865.
34;36.578000;-4.5500000;2190.07;78651.0;163226.
35;36.428000;-5.1400000;2189.30;78623.2;155962.
36;36.128000;-5.4200000;2175.38;78123.3;168580.
37;36.448000;-5.0800000;2173.23;78046.2;160793.
38;36.098000;-6.2800000;2166.72;77812.5;162905.
39;36.568000;-6.2200000;2150.34;77223.9;74336.4
40;36.458000;-5.0200000;2146.54;77087.7;163499.
41;36.088000;-5.8000000;2144.68;77020.9;163614.
42;36.158000;-6.2200000;2144.37;77009.6;154597.
43;36.178000;-6.1600000;2136.28;76719.2;153212.
44;35.838000;-5.3300000;2135.99;76708.8;160013.
45;36.188000;-6.1000000;2131.55;76549.1;159838.
46;39.488000;-9.1900000;2124.86;76308.9;164957.
47;35.688000;-5.2500000;2119.98;76133.8;154435.
48;35.278000;-3.9100000;2118.79;76091.2;154840.
49;35.928000;-5.3600000;2105.47;75612.7;165003.
50;35.258000;-4.0100000;2102.80;75516.7;153659.
51;35.438000;-2.9400000;2099.17;75386.3;159442.
52;36.808000;-6.4800000;2098.87;75375.5;166431.
53;36.158000;-6.0400000;2097.31;75319.6;161344.
54;38.778000;-9.5000000;2097.23;75316.9;163793.
